IMIĘ_PIERWSZE,PŁEĆ,LICZBA_WYSTĄPIEŃ
KRYSTSINA,KOBIETA,582
JASMIN,KOBIETA,580
ELISABETH,KOBIETA,578
AURORA,KOBIETA,577
LILIYA,KOBIETA,575
LEILA,KOBIETA,574
ELISA,KOBIETA,570
AUGUSTYNA,KOBIETA,563
LESŁAWA,KOBIETA,561
NELLA,KOBIETA,556
MARIAM,KOBIETA,554
MARIETA,KOBIETA,549
SYLVIA,KOBIETA,548
JULITTA,KOBIETA,548
NIKOLINA,KOBIETA,547
ROKSOLANA,KOBIETA,545
NADZEYA,KOBIETA,539
SAMANTHA,KOBIETA,539
AMINA,KOBIETA,537
NIKA,KOBIETA,532
ELINA,KOBIETA,530
WILHELMINA,KOBIETA,530
MELANIE,KOBIETA,529
CATHERINE,KOBIETA,521
NATASHA,KOBIETA,516
SYLWESTRA,KOBIETA,514
LAILA,KOBIETA,514
CHARLOTTE,KOBIETA,514
NELL,KOBIETA,513
ALIONA,KOBIETA,510
LILI,KOBIETA,507
LETYCJA,KOBIETA,506
VIVIEN,KOBIETA,505
ROZWITA,KOBIETA,504
VITALINA,KOBIETA,503
ERNESTYNA,KOBIETA,502
ELVIRA,KOBIETA,502
EUFEMIA,KOBIETA,498
LIANA,KOBIETA,493
MIRANDA,KOBIETA,492
NIKOLETA,KOBIETA,489
MIŁOSŁAWA,KOBIETA,488
KATHERINE,KOBIETA,487
LUCIA,KOBIETA,487
RADOSŁAWA,KOBIETA,486
PETRONELA,KOBIETA,483
LIA,KOBIETA,482
SUSANNA,KOBIETA,479
TAMAR,KOBIETA,478
KATHARINA,KOBIETA,472
LUDOMIRA,KOBIETA,471
IZOLDA,KOBIETA,471
NOA,KOBIETA,466
KAREN,KOBIETA,464
DOBROMIŁA,KOBIETA,462
EMA,KOBIETA,457
NASTASSIA,KOBIETA,457
TAMILA,KOBIETA,455
YAEL,KOBIETA,453
AGNES,KOBIETA,450
DZIYANA,KOBIETA,446
MARGOT,KOBIETA,446
LAYLA,KOBIETA,445
INGRIDA,KOBIETA,441
ELZA,KOBIETA,438
HALSZKA,KOBIETA,435
JULIANA,KOBIETA,435
ANGELICA,KOBIETA,430
TAISA,KOBIETA,429
VALIANTSINA,KOBIETA,425
JACQUELINE,KOBIETA,424
VITALIIA,KOBIETA,424
VALERIA,KOBIETA,423
FRYDERYKA,KOBIETA,422
CHIARA,KOBIETA,420
ALMA,KOBIETA,420
ZENAIDA,KOBIETA,419
NINO,KOBIETA,417
LIZA,KOBIETA,417
ARIADNA,KOBIETA,417
JASMINE,KOBIETA,416
ISMENA,KOBIETA,416
ANIDA,KOBIETA,415
CHRISTINE,KOBIETA,413
BENIGNA,KOBIETA,412
RUTH,KOBIETA,412
EMILIIA,KOBIETA,410
CYRYLA,KOBIETA,409
ANDŻELINA,KOBIETA,403
MARTHA,KOBIETA,403
NARCYZA,KOBIETA,402
KSYMENA,KOBIETA,401
JELENA,KOBIETA,400
ULYANA,KOBIETA,398
CHRISTINA,KOBIETA,393
IANA,KOBIETA,393
BETINA,KOBIETA,392
MARGARET,KOBIETA,392
GAIA,KOBIETA,390
JESICA,KOBIETA,389
ZOYA,KOBIETA,386
MATILDA,KOBIETA,386
DELFINA,KOBIETA,385
LUNA,KOBIETA,384
ISABELLE,KOBIETA,383
TINA,KOBIETA,383
AMY,KOBIETA,382
ANDRIANA,KOBIETA,380
SAMIRA,KOBIETA,380
WALTRAUDA,KOBIETA,378
DEBORA,KOBIETA,378
IWETTA,KOBIETA,375
SCHOLASTYKA,KOBIETA,374
OXANA,KOBIETA,372
MICHAL,KOBIETA,371
HIACYNTA,KOBIETA,370
LUKRECJA,KOBIETA,370
STEPHANIE,KOBIETA,368
MARIJA,KOBIETA,367
YARYNA,KOBIETA,367
GRACJA,KOBIETA,365
YULIA,KOBIETA,363
IWETA,KOBIETA,362
CHLOE,KOBIETA,362
ISABEL,KOBIETA,362
RYTA,KOBIETA,360
FRANCESCA,KOBIETA,360
PAOLA,KOBIETA,360
YAUHENIYA,KOBIETA,359
AIDA,KOBIETA,359
YELIZAVETA,KOBIETA,357
ANICETA,KOBIETA,357
BIBIANNA,KOBIETA,354
HERMINA,KOBIETA,352
NADINE,KOBIETA,351
NICOLETTA,KOBIETA,351
LESYA,KOBIETA,351
ANNE,KOBIETA,347
AMELIE,KOBIETA,346
THI,KOBIETA,345
IRENE,KOBIETA,341
LUCY,KOBIETA,339
RACHEL,KOBIETA,338
JULIE,KOBIETA,338
ARIANNA,KOBIETA,338
MARY,KOBIETA,335
LUBOW,KOBIETA,332
ADAMINA,KOBIETA,330
KESJA,KOBIETA,329
NELLI,KOBIETA,326
OTOLIA,KOBIETA,326
ŻANNA,KOBIETA,326
ELIZAVETA,KOBIETA,324
SZARLOTA,KOBIETA,322
ILZA,KOBIETA,321
NATALYA,KOBIETA,320
ANDRZELIKA,KOBIETA,319
SOFIJA,KOBIETA,319
MODESTA,KOBIETA,319
ANIA,KOBIETA,318
ROZA,KOBIETA,315
LUDWINA,KOBIETA,315
EMILIE,KOBIETA,314
LUISA,KOBIETA,314
YASMIN,KOBIETA,313
LUDMILA,KOBIETA,311
SHARON,KOBIETA,308
CARLA,KOBIETA,307
AŁŁA,KOBIETA,306
LEYLA,KOBIETA,305
VLADA,KOBIETA,303
WINCENTYNA,KOBIETA,303
HIERONIMA,KOBIETA,300
INESA,KOBIETA,300
LARISSA,KOBIETA,300
ELIANA,KOBIETA,298
RACHELA,KOBIETA,297
JOHANNA,KOBIETA,295
WERA,KOBIETA,294
CAMILLA,KOBIETA,293
ELENI,KOBIETA,292
MEGAN,KOBIETA,292
ADI,KOBIETA,292
LUCJANNA,KOBIETA,291
VIVIENNE,KOBIETA,290
NASTIA,KOBIETA,289
YULIANA,KOBIETA,289
PRAKSEDA,KOBIETA,289
MADINA,KOBIETA,289
WIELISŁAWA,KOBIETA,289
SERAFINA,KOBIETA,288
ORYSIA,KOBIETA,287
INGRYDA,KOBIETA,287
SUSANNE,KOBIETA,284
NASTAZJA,KOBIETA,282
SONJA,KOBIETA,282
ALESSANDRA,KOBIETA,280
LORENA,KOBIETA,279
MIKA,KOBIETA,279
KATIA,KOBIETA,277
AMIRA,KOBIETA,276
CORNELIA,KOBIETA,276
AISHA,KOBIETA,275
ANJA,KOBIETA,274
ARLENA,KOBIETA,273
MALIKA,KOBIETA,273
LEONORA,KOBIETA,272
HELEN,KOBIETA,272
HERONIMA,KOBIETA,272
PETRA,KOBIETA,271
KAROLA,KOBIETA,270
ARYNA,KOBIETA,270
DORIS,KOBIETA,270
SWITŁANA,KOBIETA,267
LEONA,KOBIETA,267
INHA,KOBIETA,267
ASTRID,KOBIETA,266
ALESSIA,KOBIETA,265
AURELA,KOBIETA,264
KARMEN,KOBIETA,264
IRMGARD,KOBIETA,263
LAURENCJA,KOBIETA,262
CAMILA,KOBIETA,262
URSULA,KOBIETA,262
ECATERINA,KOBIETA,261
MIRONA,KOBIETA,259
ESTHER,KOBIETA,259
JOLENTA,KOBIETA,258
ROSE,KOBIETA,257
LILLI,KOBIETA,257
LIDIYA,KOBIETA,257
ROSA,KOBIETA,256
REBECCA,KOBIETA,254
GRACE,KOBIETA,251
SUSAN,KOBIETA,251
KSAWERA,KOBIETA,251
ERWINA,KOBIETA,251
KATARINA,KOBIETA,250
LEAH,KOBIETA,248
LYDIA,KOBIETA,247
CYNTHIA,KOBIETA,245
HILDA,KOBIETA,244
ANAT,KOBIETA,243
KATRIN,KOBIETA,242
FABIOLA,KOBIETA,242
FATMA,KOBIETA,242
MARYAM,KOBIETA,241
WŁODZIMIERA,KOBIETA,240
CHANTAL,KOBIETA,238
SOFIE,KOBIETA,238
SYNTIA,KOBIETA,238
ELMIRA,KOBIETA,236
TAL,KOBIETA,235
